trade_date,amd_tag,daily_bias_alignment,layer4_d1_bias,judas_direction,judas_pips,reversal_confirmed,asian_range_pips,predicted_direction,judas_window_direction,judas_window_pips,hour_10_direction,hour_10_pips,hour_10_correct,hour_11_direction,hour_11_pips,hour_11_correct,hour_12_direction,hour_12_pips,hour_12_correct,hour_13_direction,hour_13_pips,hour_13_correct,hour_14_direction,hour_14_pips,hour_14_correct,hour_15_direction,hour_15_pips,hour_15_correct,full_dist_direction,full_dist_pips,full_dist_correct,cumulative_10_correct,cumulative_11_correct,cumulative_12_correct,cumulative_13_correct
2025-08-04,AMD_FAILED,ALIGNED,TRENDING_DOWN,UP,12,false,24,DOWN,UP,2.5,UP,2.4,false,UP,3,false,FLAT,1.2,n/a,FLAT,1.1,n/a,DOWN,10.9,true,DOWN,6.5,true,DOWN,11.6,true,false,false,false,false
2025-08-05,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,DOWN,10,true,26,DOWN,FLAT,1.2,FLAT,0.4,n/a,UP,2.4,false,UP,6,false,FLAT,0.5,n/a,DOWN,3.8,true,UP,8.5,false,UP,12.2,false,n/a,n/a,false,false
2025-08-06,AMD_SHIFTED,ALIGNED,TRENDING_UP,DOWN,8,true,25,UP,DOWN,2.5,UP,12.4,true,FLAT,0.2,n/a,FLAT,1.4,n/a,DOWN,2.5,false,DOWN,7.6,false,UP,9.1,true,UP,10.5,true,true,true,true,true
2025-08-07,AMD_SHIFTED,ALIGNED,TRENDING_UP,DOWN,13,false,42,UP,DOWN,12.9,UP,3,true,DOWN,6,false,UP,3.5,true,DOWN,8.3,false,DOWN,21.2,false,UP,4.8,true,DOWN,24,false,true,false,n/a,false
2025-08-08,AMD_TEXTBOOK,ALIGNED,TRENDING_UP,DOWN,13,true,22,UP,DOWN,6.4,FLAT,1.9,n/a,DOWN,2.9,false,DOWN,4.9,false,UP,8.6,true,FLAT,0.7,n/a,UP,2.3,true,UP,3.5,true,n/a,n/a,false,true
2025-08-11,AMD_TEXTBOOK,CONFLICTED,TRENDING_UP,UP,8,true,15,DOWN,UP,3.4,UP,2.6,false,DOWN,9.5,true,DOWN,4.8,true,UP,4.4,false,DOWN,6.2,true,UP,7.2,false,DOWN,6.2,true,false,true,true,true
2025-08-12,AMD_COMPRESSION_BREAKOUT,ALIGNED,TRENDING_UP,DOWN,13,false,32,DOWN,DOWN,11.7,FLAT,1.4,n/a,DOWN,2.7,true,UP,19.2,false,DOWN,2.2,true,UP,13,false,UP,15,false,UP,40.8,false,n/a,true,false,false
2025-08-13,AMD_SHIFTED,CONFLICTED,TRENDING_UP,UP,13,false,39,UP,UP,12.3,DOWN,7.1,false,FLAT,0.2,n/a,DOWN,9.8,false,UP,4.1,true,UP,3.8,true,DOWN,8.7,false,DOWN,18.2,false,false,false,false,false
2025-08-14,AMD_SHIFTED,ALIGNED,TRENDING_UP,DOWN,8,false,40,UP,DOWN,4.5,FLAT,0.4,n/a,DOWN,2.5,false,DOWN,19.2,false,DOWN,14.1,false,UP,10.6,true,DOWN,13.9,false,DOWN,39.4,false,n/a,false,false,false
2025-08-15,AMD_SHIFTED,ALIGNED,TRENDING_UP,DOWN,9,true,26,UP,DOWN,7,UP,6.5,true,FLAT,1.1,n/a,UP,2.3,true,UP,4.2,true,FLAT,0.7,n/a,DOWN,7,false,UP,7.1,true,true,true,true,true
